FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,GO_ID,GO_TYPE,UMLS_ID,UMLS_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,KEGG,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
1,(1->3)-beta-d-glucan biosynthetic process,biological_process,GO:0006075,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
2,(3r)-citramalyl-coa lyase activity,molecular_function,GO:0044101,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
3,(r)-carnitine transport,biological_process,GO:1900749,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
4,(s)-2-hydroxy-acid oxidase activity,molecular_function,GO:0003973,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
5,(s)-mandelate dehydrogenase activity,molecular_function,GO:0033720| GO:0030060,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
6,"1,4-alpha-oligoglucan phosphorylase activity",molecular_function,GO:0004645,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
7,"1,8-dihydroxynaphthalene-melanin biosynthetic process",biological_process,GO:0140614,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
8,1-phosphatidylinositol 4-kinase activity,molecular_function,GO:0004430,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
9,1-phosphatidylinositol-3-kinase activity,molecular_function,GO:0016303,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
10,1-phosphatidylinositol-4-phosphate 5-kinase activity,molecular_function,GO:0016308,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
11,11-beta-hydroxysteroid dehydrogenase [nad(p)] activity,molecular_function,GO:0003845,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
12,"16-methoxy-2,3-dihydro-3-hydroxytabersonine n-methyltransferase activity",molecular_function,GO:0030768,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
13,17-o-deacetylvindoline o-acetyltransferase activity,molecular_function,GO:0047162,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
14,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity",molecular_function,GO:0043715| GO:0043874,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
15,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,molecular_function,GO:0003848,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
16,2-methyl-3-hydroxybutyryl-coa dehydrogenase deficiency,biological_process,,Unknown,,Unknown,biological_process,,1184579,SMP0000137,,,,SMP0000137,,,,,,,,,,,
17,2-oxoglutarate carboxylase activity,molecular_function,GO:0034029,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
18,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity",molecular_function,GO:0070205,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
19,"3',5'-cyclic-gmp phosphodiesterase activity",molecular_function,GO:0047555,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
20,"3',5'-cyclic-nucleotide phosphodiesterase activity",molecular_function,GO:0004112| GO:0004114,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
21,3'-nucleotidase activity,molecular_function,GO:0008254,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
22,3-dehydroquinate dehydratase activity,molecular_function,GO:0003855,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
23,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,molecular_function,GO:0008693| GO:0034017,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
24,3-isopropylmalate dehydrogenase activity,molecular_function,GO:0003862,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
25,3-oxo-5-alpha-steroid 4-dehydrogenase activity,molecular_function,GO:0047751| GO:0003865,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
26,3-oxoacyl-[acyl-carrier-protein] synthase activity,molecular_function,GO:0004315,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
27,4-hydroxy-2-oxovalerate aldolase activity,molecular_function,GO:0008701,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
28,5'-nucleotidase activity,molecular_function,GO:0008253,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
29,5-aminolevulinate synthase activity,molecular_function,GO:0003870,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
30,5-carboxymethyl-2-hydroxymuconate delta-isomerase activity,molecular_function,GO:0008704,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
31,5-lipoxygenase inhibitors [moa],molecular_function,,Unknown,C2917177,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
32,5alpha-reductase,molecular_function,GO:0003865| GO:0047751,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
33,"5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase activity",molecular_function,GO:0033779,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
34,6-phosphofructokinase activity,biological_process|molecular_function,GO:0022904| GO:0003872| GO:0006118,biological_process|molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
35,6-pyruvoyltetrahydropterin synthase activity,molecular_function,GO:0003874,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
36,9-cis-epoxycarotenoid dioxygenase activity,molecular_function,GO:0045549,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
37,[acetyl-coa carboxylase] kinase activity,molecular_function,GO:0050405| GO:0004691| GO:0047322,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
38,[acyl-carrier-protein] phosphodiesterase activity,molecular_function,GO:0008770,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
39,[acyl-carrier-protein] s-malonyltransferase activity,molecular_function,GO:0004314,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
40,[tyrosine 3-monooxygenase] kinase activity,molecular_function,GO:0050369,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
41,a1401g,molecular_function,,Unknown,C5214643,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
42,a156s,molecular_function,,Unknown,C4700026,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
43,a156v,molecular_function,,Unknown,C4698533,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
44,a2a adenosine receptor binding,molecular_function,GO:0031687,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
45,a3 adenosine receptor binding,molecular_function,GO:0031689,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
46,a90v,molecular_function,,Unknown,C5214637,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
47,aba biosynthesis,biological_process,,Unknown,,Unknown,biological_process,,38737,,,,WP2626,,,,,,,,,,,,
48,abc transporters,biological_process,,Unknown,,Unknown,biological_process,,,,,,,,,,,,,,PTW_0110256,,,,
49,abc-type glutathione s-conjugate transporter activity,molecular_function,GO:0015431,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
50,abc-type xenobiotic transporter activity,molecular_function,GO:0008559,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
51,"abduction, function",biological_process,,Unknown,C0231456,biological_process,Unknown,,,,,,,,,,,,,,,,,,
52,abl1 gene mutation,molecular_function,,Unknown,C4727021,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
53,abnormal degeneration,biological_process,,Unknown,C0011164,biological_process,Unknown,,,,,,,,,,,,,,,,,,
54,abnormal renal physiology,biological_process,,Unknown,C0151746,biological_process,Unknown,,,,,,,,,,,,,,,,,,
55,abnormal virilization,biological_process,,Unknown,C0042755,biological_process,Unknown,,,,,,,,,,,,,,,,,,
56,abortifacient effect,biological_process,,Unknown,C3179338,biological_process,Unknown,,,,,,,,,,,,,,,,,,
57,abscess of skin and/or subcutaneous tissue,biological_process,,Unknown,C0149777,biological_process,Unknown,,,,,,,,,,,,,,,,,,
58,abscisic acid binding,molecular_function,GO:0010427,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
59,abscisic acid biosynthetic process,biological_process,GO:0009688,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
60,absence of biallelic tcrgamma deletion,molecular_function,,Unknown,C3811055,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
