CELL_LINE_ID,CELL_LINE_NAME,PUBCHEM_ID,CELLOSAURUS_ID,UMLS_ID,CELL_ONTOLOGY_ID
1,HEL,1,CVCL_0001,,
2,HL-60,2,CVCL_0002,,
3,HMC-1,3,CVCL_0003,,
4,K-562,4,CVCL_0004,,
5,NB4,5,CVCL_0005,,
6,THP-1,6,CVCL_0006,,
7,U-937,7,CVCL_0007,,
8,Daudi,8,CVCL_0008,,
9,A27F6.1,131081,CVCL_B0NX,,
10,HDLM-2,9,CVCL_0009,,
11,KM-3,11,CVCL_0011,,
12,LP-1,12,CVCL_0012,,
13,MOLT-4,13,CVCL_0013,,
14,RPMI-8226,14,CVCL_0014,,
15,A8G3.5,131084,CVCL_B0P0,,
16,MOSER,98320,CVCL_R731,,
17,U-698-M,17,CVCL_0017,,
18,D341 Med,18,CVCL_0018,,
19,SH-SY5Y,19,CVCL_0019,,
20,GLY,98322,CVCL_R733,,
21,U-251MG,21,CVCL_0021,,
22,U-87MG ATCC,22,CVCL_0022,,
23,A-549,23,CVCL_0023,,
24,U-138MG,20,CVCL_0020,,
25,Caco-2,25,CVCL_0025,,
26,Capan-2,26,CVCL_0026,,
27,Hep-G2,27,CVCL_0027,,
28,AN3-CA,28,CVCL_0028,,
29,SCLC-21H,24,CVCL_0024,,
30,HeLa,30,CVCL_0030,,
31,MCF-7,31,CVCL_0031,,
32,SiHa,32,CVCL_0032,,
33,SK-BR-3,33,CVCL_0033,,
34,NTERA-2,34,CVCL_0034,,
35,PC-3,35,CVCL_0035,,
36,RT-4,36,CVCL_0036,,
37,A-431,37,CVCL_0037,,
38,HaCaT,38,CVCL_0038,,
39,SK-MEL-30,39,CVCL_0039,,
40,WM115,40,CVCL_0040,,
41,Rh30,41,CVCL_0041,,
42,U2OS,42,CVCL_0042,,
43,1-10 [Mouse hybridoma against ouabain],131116,CVCL_B0PX,,
44,HEK293,45,CVCL_0045,,
45,BeWo,44,CVCL_0044,,
46,7-1 [Mouse hybridoma against ouabain],131118,CVCL_B0PZ,,
47,HUES 9,48,CVCL_0057,,
48,HeLa S3,49,CVCL_0058,,
49,Vero,50,CVCL_0059,,
50,NCI-H1299,51,CVCL_0060,,
51,NPrEC,52,CVCL_0061,,
52,MDA-MB-231,53,CVCL_0062,,
53,HEK293T,54,CVCL_0063,,
54,Dig 40-50,131125,CVCL_B0Q6,,
55,Jurkat,56,CVCL_0065,,
56,Namalwa,57,CVCL_0067,,
57,MV4-11,55,CVCL_0064,,
58,SK-MEL-2,59,CVCL_0069,,
59,DK1 [Tursiops],98363,CVCL_R774,,
60,SK-MEL-1,58,CVCL_0068,,
61,SW2,98366,CVCL_R777,,
62,EpH4,63,CVCL_0073,,
63,BaF-B03,62,CVCL_0072,,
64,NMuMG,65,CVCL_0075,,
65,SNU-16,66,CVCL_0076,,
66,SNU-398,67,CVCL_0077,,
67,SNU-5,68,CVCL_0078,,
68,697,69,CVCL_0079,,
69,A-673,70,CVCL_0080,,
70,BEL-1,71,CVCL_0081,,
71,Zos,98368,CVCL_R779,,
72,DeFew,73,CVCL_0083,,
73,M0-91,75,CVCL_0086,,
74,MC3,76,CVCL_0087,,
75,SNU-182,79,CVCL_0090,,
76,NALM-1,80,CVCL_0091,,
77,NALM-6,81,CVCL_0092,,
78,RS4;11,82,CVCL_0093,,
79,SD-1,83,CVCL_0094,,
80,SEM,84,CVCL_0095,,
81,Rok,98389,CVCL_R800,,
82,SIM/EW27,86,CVCL_0097,,
83,SKM-1,87,CVCL_0098,,
84,SNU-1,88,CVCL_0099,,
85,SNU-484,89,CVCL_0100,,
86,SNU-601,90,CVCL_0101,,
87,SNU-638,91,CVCL_0102,,
88,SUP-B15,92,CVCL_0103,,
89,UKE-1,93,CVCL_0104,,
90,DU145,94,CVCL_0105,,
91,RG-1 [Labeo],98399,CVCL_R810,,
92,PFF,98395,CVCL_R806,,
93,JY,97,CVCL_0108,,
94,TBE-1 [Human bronchial epithelial],98402,CVCL_R813,,
95,1321N1,99,CVCL_0110,,
96,16HBE14o-,101,CVCL_0112,,
97,MDCC-TV1,98405,CVCL_R816,,
98,2008/C13*5.25,103,CVCL_0114,,
99,32D,106,CVCL_0118,,
100,32Dcl3,107,CVCL_0119,,
101,3T3-Swiss albino,108,CVCL_0120,,
102,CCM,98414,CVCL_R825,,
103,3T3-L1,111,CVCL_0123,,
104,3T3F442A,110,CVCL_0122,,
105,4T1,113,CVCL_0125,,
106,5637,114,CVCL_0126,,
107,CTE,98415,CVCL_R826,,
108,A-10,116,CVCL_0130,,
109,A-172,117,CVCL_0131,,
110,A-375,118,CVCL_0132,,
111,BGF,98422,CVCL_R833,,
112,A2780,120,CVCL_0134,,
113,A2780/CP70,121,CVCL_0135,,
114,A375.S2,122,CVCL_0136,,
115,A7r5,123,CVCL_0137,,
116,ACH-2,124,CVCL_0138,,
117,AGS,125,CVCL_0139,,
118,AML12,126,CVCL_0140,,
119,GI,98431,CVCL_R842,,
120,ANA-1 [Mouse macrophage],128,CVCL_0142,,
121,AR42J,129,CVCL_0143,,
122,MAF,98433,CVCL_R844,,
123,CCG,98427,CVCL_R838,,
124,ARO,130,CVCL_0144,,
125,ARPE-19,131,CVCL_0145,,
126,Akata,134,CVCL_0148,,
127,AlphaT3-1,135,CVCL_0149,,
128,2H4 [Mouse hybridoma against human THRB],131208,CVCL_B0SJ,,
129,As4.1,137,CVCL_0151,,
