DRUG_MECHANSIM_ID,AID,REGULATION,FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,GENE_ID,GENE_NAME,CELL_LINE_ID,CELL_LINE_NAME,TISSUE_ID,TISSUE_NAME,ORGANISM_ID,ORGANISM_NAME
3247741,1915704,downregulates,752,cell population proliferation,biological_process,,,,,,,,
3247742,1915704,downregulates,3275,proliferation,biological_process,,,23.0,A-549,,,,
3247743,1915704,downregulates,1356,epidermal growth factor receptor activity,molecular_function,,,,,,,,
3247744,1915704,downregulates,3528,resistance process,biological_process,,,,,,,,
3247745,1915707,,319,antagonist muscle action,biological_process,11965.0,adra1d,,,,,,
3247746,1915710,,319,antagonist muscle action,biological_process,5073.0,htr2a,,,,,,
3247747,1915717,,319,antagonist muscle action,biological_process,20817.0,adra1a,,,,,,
3247748,1915718,,102,activation,biological_process,20200.0,gabarap,,,,,,
3247749,1915722,downregulates,732,cell growth,biological_process,,,,,,,,
3247750,1915726,,2580,mitosis,biological_process,,,6077.0,Sf9S,,,,
3247751,1915726,,2580,mitosis,biological_process,,,445.0,Sf9,,,,
3247752,1915728,downregulates,732,cell growth,biological_process,,,,,,,,
3247753,1915728,,1039,cytotoxicity,biological_process,,,2272.0,MOLM-13,,,,
3247754,1915729,downregulates,732,cell growth,biological_process,,,,,,,,
3247755,1915729,,1039,cytotoxicity,biological_process,,,57.0,MV4-11,,,,
3247756,1915734,,1039,cytotoxicity,biological_process,,,245.0,HCT 116,,,,
3247757,1915735,,1039,cytotoxicity,biological_process,,,4.0,K-562,,,,
3247758,1915736,,1039,cytotoxicity,biological_process,,,283.0,HuT 78,,,,
3247759,1915737,,1039,cytotoxicity,biological_process,,,27.0,Hep-G2,,,,
3247760,1915737,downregulates,1748,growth,biological_process,,,,,,,,
3247761,1915738,downregulates,9,1-phosphatidylinositol-3-kinase activity,molecular_function,,,,,,,,
3247762,1915741,,1039,cytotoxicity,biological_process,,,3860.0,MX-1,,,,
3247763,1915742,,1039,cytotoxicity,biological_process,,,5987.0,MRIi001-A,,,,
3247764,1915742,,1039,cytotoxicity,biological_process,,,1856.0,C40210,,,,
3247765,1915742,,1039,cytotoxicity,biological_process,,,6991.0,Chessie 6,,,,
3247766,1915742,,1039,cytotoxicity,biological_process,,,164.0,C6,,,,
3247767,1915742,,1039,cytotoxicity,biological_process,,,5121.0,C6-3,,,,
3247768,1915742,,1039,cytotoxicity,biological_process,,,5366.0,SMG-C6,,,,
3247769,1915742,downregulates,760,cell survival,biological_process,,,,,,,,
3247770,1915743,downregulates,732,cell growth,biological_process,,,,,,,,
3247771,1915743,,1039,cytotoxicity,biological_process,,,27.0,Hep-G2,,,,
3247772,1915744,downregulates,732,cell growth,biological_process,,,,,,,,
3247773,1915744,,1039,cytotoxicity,biological_process,,,4.0,K-562,,,,
3247774,1915745,downregulates,732,cell growth,biological_process,,,,,,,,
3247775,1915745,,1039,cytotoxicity,biological_process,,,309.0,KB,,,,
3247776,1915746,downregulates,732,cell growth,biological_process,,,,,,,,
3247777,1915746,,1039,cytotoxicity,biological_process,,,2415.0,HCT 8,,,,
3247778,1915747,downregulates,732,cell growth,biological_process,,,,,,,,
3247779,1915747,,1039,cytotoxicity,biological_process,,,52.0,MDA-MB-231,,,,
3247780,1915748,downregulates,3196,polymerization,biological_process,20783.0,tub,,,,,,
3247781,1915749,,179,agonist,molecular_function,10621.0,glp1r,,,,,,
3247782,1915749,upregulates,63,accumulation,molecular_function,10621.0,glp1r,,,,,,
3247783,1915749,,118,activity,molecular_function,10621.0,glp1r,,,,,,
3247784,1915749,,102,activation,biological_process,10621.0,glp1r,,,,,,
3247785,1915749,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247786,1915749,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247787,1915750,,179,agonist,molecular_function,10621.0,glp1r,,,,,,
3247788,1915750,upregulates,63,accumulation,molecular_function,10621.0,glp1r,,,,,,
3247789,1915750,,118,activity,molecular_function,10621.0,glp1r,,,,,,
3247790,1915750,,102,activation,biological_process,10621.0,glp1r,,,,,,
3247791,1915750,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247792,1915750,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247793,1915751,,179,agonist,molecular_function,8710.0,gcgr,,,,,,
3247794,1915751,upregulates,63,accumulation,molecular_function,8710.0,gcgr,,,,,,
3247795,1915751,upregulates,63,accumulation,molecular_function,2258.0,champ1,,,,,,
3247796,1915751,upregulates,63,accumulation,molecular_function,21170.0,camp,,,,,,
3247797,1915751,,118,activity,molecular_function,8710.0,gcgr,,,,,,
3247798,1915751,,102,activation,biological_process,8710.0,gcgr,,,,,,
3247799,1915751,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247800,1915751,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247801,1915752,,179,agonist,molecular_function,8710.0,gcgr,,,,,,
3247802,1915752,upregulates,63,accumulation,molecular_function,8710.0,gcgr,,,,,,
3247803,1915752,upregulates,63,accumulation,molecular_function,2258.0,champ1,,,,,,
3247804,1915752,upregulates,63,accumulation,molecular_function,21170.0,camp,,,,,,
3247805,1915752,,118,activity,molecular_function,8710.0,gcgr,,,,,,
3247806,1915752,,102,activation,biological_process,8710.0,gcgr,,,,,,
3247807,1915752,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247808,1915752,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247809,1915753,,319,antagonist muscle action,biological_process,10621.0,glp1r,,,,,,
3247810,1915753,,179,agonist,molecular_function,10621.0,glp1r,,,,,,
3247811,1915753,,118,activity,molecular_function,10621.0,glp1r,,,,,,
3247812,1915753,,102,activation,biological_process,10621.0,glp1r,,,,,,
3247813,1915753,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247814,1915753,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247815,1915754,,179,agonist,molecular_function,8710.0,gcgr,,,,,,
3247816,1915754,,319,antagonist muscle action,biological_process,8710.0,gcgr,,,,,,
3247817,1915754,,118,activity,molecular_function,8710.0,gcgr,,,,,,
3247818,1915754,,102,activation,biological_process,8710.0,gcgr,,,,,,
3247819,1915754,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247820,1915754,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247821,1915755,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247822,1915755,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247823,1915755,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247824,1915756,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247825,1915756,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247826,1915756,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247827,1915757,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247828,1915757,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247829,1915757,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247830,1915758,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247831,1915758,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247832,1915758,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247833,1915759,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247834,1915759,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247835,1915760,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247836,1915760,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247837,1915761,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247838,1915761,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247839,1915762,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247840,1915762,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247841,1915763,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247842,1915763,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247843,1915764,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247844,1915764,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247845,1915765,,319,antagonist muscle action,biological_process,10621.0,glp1r,,,,,,
3247846,1915765,,118,activity,molecular_function,10621.0,glp1r,,,,,,
3247847,1915765,,179,agonist,molecular_function,10621.0,glp1r,,,,,,
3247848,1915765,,102,activation,biological_process,10621.0,glp1r,,,,,,
3247849,1915765,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247850,1915765,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247851,1915766,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247852,1915766,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247853,1915767,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247854,1915767,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247855,1915768,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247856,1915768,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247857,1915769,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247858,1915769,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247859,1915769,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247860,1915769,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247861,1915770,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247862,1915770,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247863,1915770,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247864,1915770,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247865,1915771,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247866,1915771,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247867,1915771,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247868,1915771,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247869,1915772,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247870,1915772,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247871,1915772,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247872,1915772,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247873,1915773,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247874,1915773,,332,antidiabetics,biological_process,,,,,,,31.0,house mouse
3247875,1915773,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247876,1915773,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247877,1915774,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247878,1915774,,319,antagonist muscle action,biological_process,10621.0,glp1r,,,,,,
3247879,1915774,,118,activity,molecular_function,10621.0,glp1r,,,,,,
3247880,1915774,,179,agonist,molecular_function,10621.0,glp1r,,,,,,
3247881,1915774,,102,activation,biological_process,10621.0,glp1r,,,,,,
3247882,1915774,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247883,1915774,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247884,1915775,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247885,1915775,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247886,1915775,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247887,1915776,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247888,1915776,,332,antidiabetics,biological_process,,,,,,,40.0,brown rat
3247889,1915776,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247890,1915776,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247891,1915777,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247892,1915777,,332,antidiabetics,biological_process,,,,,,,40.0,brown rat
3247893,1915777,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247894,1915777,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247895,1915778,downregulates,1468,feeding behavior,biological_process,,,,,,,,
3247896,1915778,,332,antidiabetics,biological_process,,,,,,,40.0,brown rat
3247897,1915778,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247898,1915778,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247899,1915779,,3998,toxicity,biological_process,,,,,,,40.0,brown rat
3247900,1915779,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247901,1915779,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247902,1915780,,179,agonist,molecular_function,,,,,,,5645.0,Xenopus
3247903,1915780,,1463,fatty degeneration,biological_process,,,,,,,6087.0,Rodentia
3247904,1915780,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247905,1915780,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247906,1915781,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247907,1915781,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247908,1915782,,179,agonist,molecular_function,,,,,,,5645.0,Xenopus
3247909,1915782,,1463,fatty degeneration,biological_process,,,,,,,6087.0,Rodentia
3247910,1915782,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247911,1915782,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247912,1915783,,179,agonist,molecular_function,,,,,,,5645.0,Xenopus
3247913,1915783,,1463,fatty degeneration,biological_process,,,,,,,6087.0,Rodentia
3247914,1915783,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247915,1915783,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247916,1915784,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247917,1915784,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247918,1915785,,179,agonist,molecular_function,,,,,,,5645.0,Xenopus
3247919,1915785,,1463,fatty degeneration,biological_process,,,,,,,6087.0,Rodentia
3247920,1915785,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247921,1915785,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247922,1915786,,179,agonist,molecular_function,,,,,,,5645.0,Xenopus
3247923,1915786,,1463,fatty degeneration,biological_process,,,,,,,6087.0,Rodentia
3247924,1915786,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247925,1915786,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247926,1915787,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
3247927,1915787,upregulates,1948,hypoglycemic effect,biological_process,,,,,,,,
3247928,1915788,,3998,toxicity,biological_process,,,,,,,31.0,house mouse
3247929,1915788,upregulates,1643,giant cell granuloma,biological_process,,,,,,,,
