FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,GO_ID,GO_TYPE,UMLS_ID,UMLS_TYPE,KEGG_ID
1,(1->3)-beta-d-glucan biosynthetic process,biological_process,GO:0006075,biological_process,,Unknown,
2,(3r)-citramalyl-coa lyase activity,molecular_function,GO:0044101,molecular_function,,Unknown,
3,(r)-carnitine transport,biological_process,GO:1900749,biological_process,,Unknown,
4,(s)-2-hydroxy-acid oxidase activity,molecular_function,GO:0003973,molecular_function,,Unknown,
5,(s)-mandelate dehydrogenase activity,molecular_function,GO:0033720| GO:0030060,molecular_function,,Unknown,
6,"1,4-alpha-oligoglucan phosphorylase activity",molecular_function,GO:0004645,molecular_function,,Unknown,
7,"1,8-dihydroxynaphthalene-melanin biosynthetic process",biological_process,GO:0140614,biological_process,,Unknown,
8,1-phosphatidylinositol 4-kinase activity,molecular_function,GO:0004430,molecular_function,,Unknown,
9,1-phosphatidylinositol-3-kinase activity,molecular_function,GO:0016303,molecular_function,,Unknown,
10,1-phosphatidylinositol-4-phosphate 5-kinase activity,molecular_function,GO:0016308,molecular_function,,Unknown,
11,11-beta-hydroxysteroid dehydrogenase [nad(p)] activity,molecular_function,GO:0003845,molecular_function,,Unknown,
12,"16-methoxy-2,3-dihydro-3-hydroxytabersonine n-methyltransferase activity",molecular_function,GO:0030768,molecular_function,,Unknown,
13,17-o-deacetylvindoline o-acetyltransferase activity,molecular_function,GO:0047162,molecular_function,,Unknown,
14,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity",molecular_function,GO:0043715| GO:0043874,molecular_function,,Unknown,
15,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,molecular_function,GO:0003848,molecular_function,,Unknown,
17,2-oxoglutarate carboxylase activity,molecular_function,GO:0034029,molecular_function,,Unknown,
18,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity",molecular_function,GO:0070205,molecular_function,,Unknown,
19,"3',5'-cyclic-gmp phosphodiesterase activity",molecular_function,GO:0047555,molecular_function,,Unknown,
20,"3',5'-cyclic-nucleotide phosphodiesterase activity",molecular_function,GO:0004112| GO:0004114,molecular_function,,Unknown,
21,3'-nucleotidase activity,molecular_function,GO:0008254,molecular_function,,Unknown,
22,3-dehydroquinate dehydratase activity,molecular_function,GO:0003855,molecular_function,,Unknown,
23,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,molecular_function,GO:0008693| GO:0034017,molecular_function,,Unknown,
24,3-isopropylmalate dehydrogenase activity,molecular_function,GO:0003862,molecular_function,,Unknown,
25,3-oxo-5-alpha-steroid 4-dehydrogenase activity,molecular_function,GO:0047751| GO:0003865,molecular_function,,Unknown,
26,3-oxoacyl-[acyl-carrier-protein] synthase activity,molecular_function,GO:0004315,molecular_function,,Unknown,
27,4-hydroxy-2-oxovalerate aldolase activity,molecular_function,GO:0008701,molecular_function,,Unknown,
28,5'-nucleotidase activity,molecular_function,GO:0008253,molecular_function,,Unknown,
29,5-aminolevulinate synthase activity,molecular_function,GO:0003870,molecular_function,,Unknown,
30,5-carboxymethyl-2-hydroxymuconate delta-isomerase activity,molecular_function,GO:0008704,molecular_function,,Unknown,
31,5-lipoxygenase inhibitors [moa],molecular_function,,Unknown,C2917177,molecular_function,
32,5alpha-reductase,molecular_function,GO:0003865| GO:0047751,molecular_function,,Unknown,
33,"5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase activity",molecular_function,GO:0033779,molecular_function,,Unknown,
34,6-phosphofructokinase activity,biological_process|molecular_function,GO:0022904| GO:0003872| GO:0006118,biological_process|molecular_function,,Unknown,
35,6-pyruvoyltetrahydropterin synthase activity,molecular_function,GO:0003874,molecular_function,,Unknown,
36,9-cis-epoxycarotenoid dioxygenase activity,molecular_function,GO:0045549,molecular_function,,Unknown,
37,[acetyl-coa carboxylase] kinase activity,molecular_function,GO:0050405| GO:0004691| GO:0047322,molecular_function,,Unknown,
38,[acyl-carrier-protein] phosphodiesterase activity,molecular_function,GO:0008770,molecular_function,,Unknown,
39,[acyl-carrier-protein] s-malonyltransferase activity,molecular_function,GO:0004314,molecular_function,,Unknown,
40,[tyrosine 3-monooxygenase] kinase activity,molecular_function,GO:0050369,molecular_function,,Unknown,
41,a1401g,molecular_function,,Unknown,C5214643,molecular_function,
42,a156s,molecular_function,,Unknown,C4700026,molecular_function,
43,a156v,molecular_function,,Unknown,C4698533,molecular_function,
44,a2a adenosine receptor binding,molecular_function,GO:0031687,molecular_function,,Unknown,
45,a3 adenosine receptor binding,molecular_function,GO:0031689,molecular_function,,Unknown,
46,a90v,molecular_function,,Unknown,C5214637,molecular_function,
49,abc-type glutathione s-conjugate transporter activity,molecular_function,GO:0015431,molecular_function,,Unknown,
50,abc-type xenobiotic transporter activity,molecular_function,GO:0008559,molecular_function,,Unknown,
51,"abduction, function",biological_process,,Unknown,C0231456,biological_process,
52,abl1 gene mutation,molecular_function,,Unknown,C4727021,molecular_function,
53,abnormal degeneration,biological_process,,Unknown,C0011164,biological_process,
54,abnormal renal physiology,biological_process,,Unknown,C0151746,biological_process,
55,abnormal virilization,biological_process,,Unknown,C0042755,biological_process,
56,abortifacient effect,biological_process,,Unknown,C3179338,biological_process,
57,abscess of skin and/or subcutaneous tissue,biological_process,,Unknown,C0149777,biological_process,
58,abscisic acid binding,molecular_function,GO:0010427,molecular_function,,Unknown,
59,abscisic acid biosynthetic process,biological_process,GO:0009688,biological_process,,Unknown,
60,absence of biallelic tcrgamma deletion,molecular_function,,Unknown,C3811055,molecular_function,
62,acat activity,molecular_function,GO:0004313| GO:0034736| GO:0004772,molecular_function,,Unknown,
64,acetaldehyde dehydrogenase (acetylating) activity,molecular_function,GO:0008774,molecular_function,,Unknown,
65,acetate biosynthetic process,biological_process,GO:0019413,biological_process,,Unknown,
66,acetate kinase activity,molecular_function,GO:0008776,molecular_function,,Unknown,
67,acetoin biosynthetic process,biological_process,GO:0045151,biological_process,,Unknown,
68,acetolactate synthase activity,molecular_function,GO:0003984,molecular_function,,Unknown,
69,acetyl-coa c-acyltransferase activity,molecular_function,GO:0003988,molecular_function,,Unknown,
70,acetyl-coa carboxylase activity,molecular_function,GO:0003989,molecular_function,,Unknown,
71,acetylation,biological_process|molecular_function,,Unknown,C0001038,molecular_function,
72,acetylcholine binding,molecular_function,GO:0042166,molecular_function,,Unknown,
73,acetylcholine receptor binding,molecular_function,GO:0033130,molecular_function,,Unknown,
74,acetylcholine secretion,biological_process,GO:0061526,biological_process,,Unknown,
75,acetylcholine transport,biological_process,GO:0015870,biological_process,,Unknown,
76,acetylcholine-gated monoatomic cation-selective channel activity,molecular_function,GO:0022848,molecular_function,,Unknown,
77,acetylcholinesterase activity,molecular_function,GO:0003990,molecular_function,,Unknown,
78,acetyltransferase activity,molecular_function,GO:0016407,molecular_function,,Unknown,
79,acid phosphatase activity,molecular_function,GO:0003993,molecular_function,,Unknown,
80,acid secretion,biological_process,GO:0046717,biological_process,,Unknown,
81,acid-base equilibrium,biological_process,,Unknown,C0001117,biological_process,
82,acidemia,biological_process,,Unknown,C0268030,biological_process,
84,acidosis,biological_process,,Unknown,C0001122,biological_process,
85,acireductone dioxygenase [iron(ii)-requiring] activity,molecular_function,GO:0010309,molecular_function,,Unknown,
86,aconitate hydratase activity,molecular_function,GO:0003994| GO:0052633| GO:0047780,molecular_function,,Unknown,
87,acoustic evoked brain stem potentials,biological_process,,Unknown,C0079319,biological_process,
88,acrosin activity,molecular_function,GO:0004284,molecular_function,,Unknown,
89,actin binding,molecular_function,GO:0003779,molecular_function,,Unknown,
90,actin crosslink formation,biological_process,GO:0051764,biological_process,,Unknown,
91,actin cytoskeleton reorganization,biological_process,GO:0031532,biological_process,,Unknown,
92,actin filament binding,molecular_function,GO:0051015,molecular_function,,Unknown,
93,actin filament depolymerization,biological_process,GO:0030042,biological_process,,Unknown,
94,actin filament polymerization,biological_process|molecular_function,GO:0033392| GO:0030041,biological_process|molecular_function,,Unknown,
95,actin nucleation,biological_process,GO:0045010,biological_process,,Unknown,
97,action potential,biological_process,GO:0001508,biological_process,,Unknown,
98,action potential initiation,biological_process,GO:0099610,biological_process,,Unknown,
99,activated t cell autonomous cell death,biological_process,GO:0070238,biological_process,,Unknown,
100,activated t cell proliferation,biological_process,GO:0050798,biological_process,,Unknown,
101,activating egfr gene mutation,molecular_function,,Unknown,C2984891,molecular_function,
103,activation of adenylate cyclase activity,biological_process,GO:0007190,biological_process,,Unknown,
105,activation of gtpase activity,biological_process,GO:0090630,biological_process,,Unknown,
106,activation of membrane attack complex,biological_process,GO:0001905,biological_process,,Unknown,
108,activation of phospholipase c activity,biological_process,GO:0007202,biological_process,,Unknown,
110,activation of protein kinase activity,biological_process,GO:0032147,biological_process,,Unknown,
111,activation of protein kinase c activity,biological_process,GO:1990051,biological_process,,Unknown,
113,"activation, metabolic",molecular_function,,Unknown,C0025513,molecular_function,
114,activation-induced cell death of t cells,biological_process,GO:0006924| GO:0071888| GO:0071948,biological_process,,Unknown,
116,active transmembrane transporter activity,molecular_function,GO:0022804,molecular_function,,Unknown,
117,activin binding,molecular_function,GO:0048185,molecular_function,,Unknown,
119,acute inflammatory response,biological_process,GO:0002526,biological_process,,Unknown,
120,acute myeloid leukemia,biological_process,,Unknown,,Unknown,hsa05221
121,acyl glucuronidation,biological_process,GO:0036236,biological_process,,Unknown,
122,acyl-coa binding,molecular_function,GO:0120227,molecular_function,,Unknown,
123,acyl-coa oxidase activity,molecular_function,GO:0003997,molecular_function,,Unknown,
124,acyltransferase activity,molecular_function,GO:0016746,molecular_function,,Unknown,
125,adaptation,biological_process,,Unknown,C0392673| C0000934,biological_process,
126,"adaptation, physiological",biological_process,,Unknown,C0001400,biological_process,
127,adaptive immune response,biological_process,GO:0002250,biological_process,,Unknown,
128,adaptive immunity,biological_process,,Unknown,C0678209,biological_process,
130,adenine binding,molecular_function,GO:0002055,molecular_function,,Unknown,
131,adenosine biosynthetic process,biological_process,GO:0046086,biological_process,,Unknown,
132,adenosine deaminase inhibitors [moa],molecular_function,,Unknown,C1373051,molecular_function,
133,adenosine kinase activity,molecular_function,GO:0004001,molecular_function,,Unknown,
134,adenosine metabolic process,biological_process,GO:0046085,biological_process,,Unknown,
135,adenosine receptor agonists [moa],molecular_function,,Unknown,C2917194,molecular_function,
136,adenosine receptor antagonists [moa],molecular_function,,Unknown,C2917195,molecular_function,
137,adenosine receptor binding,molecular_function,GO:0031685,molecular_function,,Unknown,
138,adenosine transport,biological_process,GO:0032238,biological_process,,Unknown,
139,adenosine triphosphate-citrate lyase inhibitors [moa],molecular_function,,Unknown,C5434823,molecular_function,
140,adenosylcobinamide-gdp ribazoletransferase activity,molecular_function,GO:0051073| GO:0008818,molecular_function,,Unknown,
141,adenosylhomocysteinase activity,molecular_function,GO:0004013,molecular_function,,Unknown,
142,adenosylmethionine decarboxylase activity,molecular_function,GO:0004014,molecular_function,,Unknown,
143,adenylate cyclase activity,molecular_function,GO:0004016,molecular_function,,Unknown,
144,adenylate kinase activity,molecular_function,GO:0004017,molecular_function,,Unknown,
145,adenylyl-sulfate reductase activity,molecular_function,GO:0009973,molecular_function,,Unknown,
147,adipogenesis,biological_process,GO:0060612| GO:0045444,biological_process,,Unknown,
148,adiponectin secretion,biological_process,GO:0070162,biological_process,,Unknown,
149,adipose tissue development,biological_process,GO:0060612,biological_process,,Unknown,
150,adipsin activity,molecular_function,GO:0003817,molecular_function,,Unknown,
