FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
16,2-methyl-3-hydroxybutyryl-coa dehydrogenase deficiency,biological_process,biological_process,,1184579,SMP0000137,,,,SMP0000137,,,,,,,,,,
47,aba biosynthesis,biological_process,biological_process,,38737,,,,WP2626,,,,,,,,,,,
48,abc transporters,biological_process,biological_process,,,,,,,,,,,,,PTW_0110256,,,,
61,absorption,biological_process,biological_process,,,,,,,,,,,,,PTW_0111228,,,,
63,accumulation,molecular_function,Unknown,,,,,,,,,,,,,,,,,
83,acidic ph,biological_process,biological_process,,40669,,,,,,acidic pH,,,Pathway_6551c974265365a6b9722cb4defa546e,,,,,,
96,actin stress fibers,biological_process,biological_process,,,,,,,,,,,Pathway_35575ceca31608fd7da234a93756b5f7,,,,,,
102,activation,biological_process,Unknown,,,,,,,,,,,,,,,,,
104,activation of downstream effectors,biological_process,biological_process,R-DME-450736,8619,,,,,,,,,,,,,,,
107,activation of nicotinic acetylcholine receptors,biological_process,biological_process,R-GGA-629602,11684| 14389| 16203| 2018| 20296| 21017| 22161| 2555| 4504| 5724| 8142| 9017,,,,,,,,,,,,,,,
109,activation of pkb,biological_process,biological_process,R-GGA-165158| R-HSA-165158,11357| 13960| 15153| 15435| 16615| 17683| 18785| 19689| 20604| 2178| 23078| 2948| 4179| 489| 5297| 7263| 7929| 9864,,,,,,,,,,,,,,,
112,activation of rac1,biological_process,biological_process,R-HSA-428540,10719,,,,,,,,,,,,,,,
115,activator,molecular_function,Unknown,,,,,,,,,,,,,,,,,
118,activity,molecular_function,Unknown,,,,,,,,,,,,,,,,,
129,adduct,molecular_function,Unknown,,,,,,,,,,,,,,,,,
146,adhesion,biological_process,biological_process,,,,,,,,,,,Pathway_87ff5830f91104830db8782ce44fb1ad,,,,,,
157,adp-ribosylation factor,biological_process,biological_process,,,,,,,,,,,,,,,,arappathway,
165,adrenoceptors,biological_process,biological_process,R-GGA-390696| R-HSA-390696,11429| 14027| 16682| 19755| 20671| 2244| 23144| 2993| 4248| 5366| 7969| 9929,,,,,,,,,,,,,,,
172,aerobic glycolysis,biological_process,biological_process,,1295551,,,,WP4629,,,,,,,,,,,
173,affinity,molecular_function,Unknown,,,,,,,,,,,,,,,,,
178,agonism,molecular_function,Unknown,,,,,,,,,,,,,,,,,
179,agonist,molecular_function,Unknown,,,,,,,,,,,,,,,,,
180,agonistic activity,molecular_function,Unknown,,,,,,,,,,,,,,,,,
184,akt(pkb)-mtor signaling,biological_process,biological_process,,,,,,,,,,,Pathway_92e88fceb567112b27bb9275060ec1c5,,,,,,
192,alcohol sulfotransferase activity,molecular_function,Unknown,,,,,,,,,,,,,,,,,
209,alkalinization,biological_process,biological_process,,,,,,,,,,,,,PTW_0111182,,,,
214,alkylation,molecular_function,Unknown,,,,,,,,,,,,,,,,,
219,allograft rejection,biological_process,biological_process,,39706,,,,WP2328,,,,,,,,,,,
220,allosteric agonism,molecular_function,Unknown,,,,,,,,,,,,,,,,,
221,allosteric antagonist,molecular_function,Unknown,,,,,,,,,,,,,,,,,
222,allosteric inhibition,molecular_function,Unknown,,,,,,,,,,,,,,,,,
223,allosteric modulation,molecular_function,Unknown,,,,,,,,,,,,,,,,,
224,allosteric modulator,molecular_function,Unknown,,,,,,,,,,,,,,,,,
