GENE_ID,GENE_NAME,UMLS_ID,UMLS_NAME,UNIPROT_GENE_NAME,NCBI_GENE_ID
1,rps3,,,rps3,
2,m01f1.3,,,m01f1.3,
3,sart1,,,sart1,
4,sirpg,,,sirpg,
5,rras2,,,rras2,
6,actc1,,,actc1,
7,uqcr10,,,uqcr10,
8,actr3,,,actr3,
9,serpina3k,,,serpina3k,
10,nsl1,,,nsl1,
11,hippuryl-L-arginine,C0062728,hippuryl-L-arginine,,
12,sit1,,,sit1,
13,ltc4s,,,ltc4s,
14,marchf8,,,marchf8,
15,lacz,,,lacz,
16,ntf3,,,ntf3,
17,hcg_23341,,,hcg_23341,
18,bpp3671,,,bpp3671,
19,"Receptor, Muscarinic M3",C0289799,"Receptor, Muscarinic M3",,
20,ipo8,,,ipo8,
21,bmy1,,,bmy1,
22,dipk2a,,,dipk2a,
23,nep1,,,nep1,
24,pgk2,,,pgk2,
25,enox2,,,enox2,
26,ndufb10,,,ndufb10,
27,dalbavancin,C1172636,dalbavancin,,
28,ctrc,,,ctrc,
29,dync1h1,,,dync1h1,
30,hca,,,hca,
31,igfbp3,,,igfbp3,
32,amd1,,,amd1,
33,human insulin,C4721874,human insulin,,
34,pnp1,,,pnp1,
35,ole1,,,ole1,
36,spac3a11.11c,,,spac3a11.11c,
37,cbr1,,,cbr1,
38,gnb4,,,gnb4,
39,stambpl1,,,stambpl1,
40,gstm2,,,gstm2,
41,gm19326,,,gm19326,
42,"NF-kappa B| NFKB1 gene| NFKB1 wt Allele| CDH13 protein, human| Enhancer of Filamentation 1| SCYL1 gene| NFKB2 gene",C2986464,"NF-kappa B| NFKB1 gene| NFKB1 wt Allele| CDH13 protein, human| Enhancer of Filamentation 1| SCYL1 gene| NFKB2 gene",,
43,pygm,,,pygm,
44,scgb1c1,,,scgb1c1,
45,rexo4,,,rexo4,
46,tena2,,,tena2,
47,pha2,,,pha2,
48,Vasopressin Receptor 1,C0052360,Vasopressin Receptor 1,,
49,akr1c1,,,akr1c1,
50,gpr132,,,gpr132,
51,akip1,,,akip1,
52,ltf,,,ltf,
53,pde7a,,,pde7a,
54,nol9,,,nol9,
55,nsrr,,,nsrr,
56,ATP5F1E wt Allele,C3812228,ATP5F1E wt Allele,,
57,kars1,,,kars1,
58,neurod1,,,neurod1,
59,mt2133,,,mt2133,
60,be2s1,,,be2s1,
61,ndp,,,ndp,
62,prpc2,,,prpc2,
63,polr3f,,,polr3f,
64,c7orf16,,,c7orf16,
65,mpi,,,mpi,
66,eas,,,eas,
67,h3.2,,,h3.2,
68,mxan_5909,,,mxan_5909,
69,arhgap45,,,arhgap45,
70,disc1,,,disc1,
71,npy4r,,,npy4r,
72,h3f3b,,,h3f3b,
73,xyn30a,,,xyn30a,
74,oant_0094,,,oant_0094,
75,msmeg_1480,,,msmeg_1480,
76,tnfrsf21,,,tnfrsf21,
77,ccni2,,,ccni2,
78,fksa,,,fksa,
79,FP-1305,C5204510,FP-1305,,
80,tnfaip1,,,tnfaip1,
81,Lanosterol synthase| LSS gene,C0243727,Lanosterol synthase| LSS gene,,
82,fahd1,,,fahd1,
83,beta-hydroxyacyl-(acyl-carrier-protein)dehydrase,C0163862,beta-hydroxyacyl-(acyl-carrier-protein)dehydrase,,
84,tecr,,,tecr,
85,h3c3,,,h3c3,
86,gm22424,,,gm22424,
87,tshr,,,tshr,
88,sirt7,,,sirt7,
89,gdi2185,,,gdi2185,
90,arhgef26,,,arhgef26,
91,milc,,,milc,
92,col1a1,,,col1a1,
93,hpdl,,,hpdl,
94,gp1bb,,,gp1bb,
95,tnk2,,,tnk2,
96,dkfzp686i0746,,,dkfzp686i0746,
97,slc9a3,,,slc9a3,
98,tank-1,,,tank-1,
99,pgme,,,pgme,
100,,,,,628
101,tetm,,,tetm,
102,rca,,,rca,
103,h2ax,,,h2ax,
104,dimethyl fumarate,C0058218,dimethyl fumarate,,
105,his2b:cg33884,,,his2b:cg33884,
106,slc4a1,,,slc4a1,
107,gatd3b,,,gatd3b,
108,"PDC wt Allele| PDC protein, human| PDC gene",C1739685,"PDC wt Allele| PDC protein, human| PDC gene",,
109,MYC wt Allele| c-myc Genes,C0079068,MYC wt Allele| c-myc Genes,,
110,eril,,,eril,
111,znf106,,,znf106,
112,def1,,,def1,
113,gm18806,,,gm18806,
114,purinoceptor P2X1,C0389304,purinoceptor P2X1,,
115,cfxa,,,cfxa,
116,hmbs,,,hmbs,
117,cipc,,,cipc,
118,slc19a3,,,slc19a3,
119,acp_1052,,,acp_1052,
120,MAS1 wt Allele| MAS1 gene,C1706475,MAS1 wt Allele| MAS1 gene,,
121,sycp2,,,sycp2,
122,fcgr1a,,,fcgr1a,
123,mageb16,,,mageb16,
124,sprr2d,,,sprr2d,
125,arhgap4,,,arhgap4,
126,mt2820,,,mt2820,
127,rnh,,,rnh,
128,ifnb,,,ifnb,
129,,,,,100270892
130,ep2,,,ep2,
131,bia1,,,bia1,
132,rab2a,,,rab2a,
133,arhh,,,arhh,
134,mtmr11,,,mtmr11,
135,larp7,,,larp7,
136,mab_0213c,,,mab_0213c,
137,hla-cw,,,hla-cw,
138,inafm1,,,inafm1,
139,sprt,,,sprt,
140,vpa0305,,,vpa0305,
141,,,,,878
142,mt,,,mt,
143,naprt,,,naprt,
144,"Antigens, Viral",C0003342,"Antigens, Viral",,
145,hCGRP (8-37),C0209044,hCGRP (8-37),,
146,ulk1,,,ulk1,
147,bbr47_56650,,,bbr47_56650,
148,cavin1,,,cavin1,
149,mettl20,,,mettl20,
150,cap13,,,cap13,
151,c14orf159 variant protein,,,c14orf159 variant protein,
152,trmt5,,,trmt5,
153,rab41,,,rab41,
154,fat2,,,fat2,
155,,,,,982
156,krt16,,,krt16,
157,Dihydrodipicolinate synthase| NPL gene,C0058069,Dihydrodipicolinate synthase| NPL gene,,
158,hcdg_03993,,,hcdg_03993,
159,dusp6,,,dusp6,
160,hel-s-72p,,,hel-s-72p,
161,lcat1,,,lcat1,
162,bst2,,,bst2,
163,wdr7,,,wdr7,
164,cep57,,,cep57,
165,XL665,C1721108,XL665,,
166,tacr2,,,tacr2,
167,abhd5,,,abhd5,
168,pacc1,,,pacc1,
169,ermd,,,ermd,
170,mach,,,mach,
171,dkfzp686b23205,,,dkfzp686b23205,
172,hcg_16695,,,hcg_16695,
173,prok2,,,prok2,
174,apcdd1,,,apcdd1,
175,mpe_a3725,,,mpe_a3725,
176,nfrkb,,,nfrkb,
177,klf5,,,klf5,
178,unq6114,,,unq6114,
179,py03301,,,py03301,
180,h1-8,,,h1-8,
181,psca,,,psca,
182,mul_4402,,,mul_4402,
183,txnl4b,,,txnl4b,
184,afla_083920,,,afla_083920,
185,eif3b,,,eif3b,
186,virk,,,virk,
187,lax1,,,lax1,
188,tex55,,,tex55,
189,tial1,,,tial1,
190,klk7,,,klk7,
191,Multienzyme Complexes,C0026741,Multienzyme Complexes,,
192,aldh3a1,,,aldh3a1,
193,tfeb,,,tfeb,
194,nampt,,,nampt,
195,dvl3,,,dvl3,
196,yodp,,,yodp,
197,cntrob,,,cntrob,
198,rad9a,,,rad9a,
199,,,,,1283
200,at1g13860,,,at1g13860,
201,me3,,,me3,
202,ccl27,,,ccl27,
203,clk1,,,clk1,
204,gsh1,,,gsh1,
205,gtf2ird1,,,gtf2ird1,
206,cstb,,,cstb,
207,tkt10,,,tkt10,
208,igkv1-12,,,igkv1-12,
209,spcc70.08c,,,spcc70.08c,
210,fio1,,,fio1,
211,NEDD8 Activating Enzyme,C3272370,NEDD8 Activating Enzyme,,
212,beta-lactamase L1,C0256369,beta-lactamase L1,,
213,fads6,,,fads6,
214,aldh2,,,aldh2,
215,caci_0231,,,caci_0231,
216,"PGRMC1 wt Allele| PGRMC1 protein, human",C4284033,"PGRMC1 wt Allele| PGRMC1 protein, human",,
217,cg32281,,,cg32281,
218,Exopeptidase,C0117059,Exopeptidase,,
219,mafa,,,mafa,
220,mevan_1404,,,mevan_1404,
221,gsk3a,,,gsk3a,
222,tyw3,,,tyw3,
223,tmed8,,,tmed8,
224,hi_1556,,,hi_1556,
225,tgnd,,,tgnd,
226,corn extract| Zea mays antigen,C1095906,corn extract| Zea mays antigen,,
227,slc3a1,,,slc3a1,
228,gamma-Secretase,C0379528,gamma-Secretase,,
229,"3-Oxo-5-Alpha-Steroid 4-Dehydrogenase 1, Human| SRD5A1 gene",C3538878,"3-Oxo-5-Alpha-Steroid 4-Dehydrogenase 1, Human| SRD5A1 gene",,
230,Cytochromes,C0010798,Cytochromes,,
231,gsa,,,gsa,
232,mcur1,,,mcur1,
233,pcc_0559,,,pcc_0559,
234,rml2,,,rml2,
235,nup2,,,nup2,
236,hel-s-108,,,hel-s-108,
237,prr34,,,prr34,
238,tekt3,,,tekt3,
239,rdh11,,,rdh11,
240,ptprd,,,ptprd,
241,tas2r46,,,tas2r46,
242,Bee Venoms,C0004920,Bee Venoms,,
243,ppard,,,ppard,
244,,,,,1556
245,flad1,,,flad1,
246,ccnd1,,,ccnd1,
247,atp2c1,,,atp2c1,
248,tasor,,,tasor,
249,dmac1,,,dmac1,
250,mtlk,,,mtlk,
251,plppr3,,,plppr3,
252,,,,,1578
253,sec23a,,,sec23a,
254,il10rb,,,il10rb,
255,ndufb9,,,ndufb9,
256,PROS1 wt Allele| PROS1 gene,C3813209,PROS1 wt Allele| PROS1 gene,,
257,rp459,,,rp459,
258,ncoa4,,,ncoa4,
259,ttx-7,,,ttx-7,
260,slc17a9,,,slc17a9,
261,fgfr4,,,fgfr4,
262,cpd,,,cpd,
263,beta-Caseins,C0005198,beta-Caseins,,
264,sthb,,,sthb,
265,nwmn_0494,,,nwmn_0494,
266,igkv6-21,,,igkv6-21,
267,cyp74a2,,,cyp74a2,
268,,,,,100009607
269,cdh4,,,cdh4,
270,beta-Glucosidase,C0005223,beta-Glucosidase,,
271,ilvc,,,ilvc,
272,itgb5,,,itgb5,
273,astj,,,astj,
274,dlgap4,,,dlgap4,
275,tv1464,,,tv1464,
276,map4k3,,,map4k3,
277,diaph2,,,diaph2,
278,rad18,,,rad18,
279,slc50a1,,,slc50a1,
