ORGANISM_ID,ORGANISM_NAME,NCBI_TEXONOMY_ID
1,Myrospermum frutescens,100153
2,Streptomyces coelicolor A3(2),100226
3,Cricetinae,10026
4,Cricetulus aureus,10029
5,long-tailed dwarf hamster,10030
6,Mesocricetus auratus,10036
7,Dzhungarian hamster,10044
8,gerbils,10045
9,jirds,10046
10,Mongolian gerbil,10047
11,Ophiopogon japonicus,100506
12,Asparagus cochinchinensis,100514
13,Microtus,10053
14,Dracaena angustifolia,100531
15,Dracaena draco,100532
16,Ficus auriculata,100541
17,leng guo rong,100573
18,Calthropella,1006832
19,Neamphius,1006835
20,Neamphius huxleyi,1006836
21,Thrombus,1006837
22,Dysphania,1007465
23,Hericium coralloides,100756
24,Madurella mycetomatis,100816
25,Gambian giant pouched rat,10085
26,Phytophthora litchii,100870
27,Mus,10088
28,Coprobacillus cateniformis,100884
29,Catenibacterium mitsuokai,100886
30,Mus caroli,10089
31,house mouse,10090
32,baboon,100937
33,mice,10095
34,Cryptococcus albidus,100951
35,Styloscolex baicalensis,100962
36,Cladobotryum rubrobrunnescens,100994
37,Hypomyces cervinigenus,100997
38,Natal multimammate mouse,10112
39,rats,10114
40,brown rat,10116
41,Bipolaris oryzae,101162
42,Trichoderma asperellum,101201
43,Microsporum distortum,101202
44,Saprolegnia parasitica,101203
45,Conus anemone,101285
46,Conus generalis,101304
47,Hystrix,10136
48,guinea pigs,10140
49,Cavia porcellus,10141
50,Cavia cutleri,10144
51,Wedelia biflora,101473
52,Trichophyton interdigitale,101480
53,Monographella nivalis,101483
54,Chinchilla,10151
55,short-tailed chinchilla,10152
56,Capnocytophaga gingivalis,1017
57,Pandanus utilis,101712
58,Barleria lupulina,101743
59,Capnocytophaga ochracea,1018
60,Castor,10184
61,Capnocytophaga sputigena,1019
62,Rotifera,10190
63,Japanese apricot,102107
64,Bugula neritina,10212
65,Solobacterium moorei,102148
66,Cyanobacterium,102234
67,Hymenolepis nana,102285
68,Orthopoxvirus,10242
69,Cowpox virus,10243
70,Monkeypox virus,10244
71,Vaccinia virus,10245
72,Vaccinia virus Copenhagen,10249
73,Vaccinia virus Lister,10252
74,Vaccinia virus WR,10254
75,small pox virus,10255
76,Orf virus,10258
77,Helicobacter pylori SS1,102617
78,Acar,102633
79,Amylosporus,1026883
80,white snakeroot,102750
81,Eupatorium chinense,102772
82,Molluscum contagiosum virus,10279
83,H5N1 subtype,102793
84,Molluscum contagiosum virus subtype 1,10280
85,Proteus penneri,102862
86,Simplexvirus,10294
87,Drupella fragum,1029762
88,Herpes simplex virus type 1,10298
89,Herpes simplex virus (type 1 / strain 17),10299
90,Herpes simplex virus (type 1 / strain F),10304
91,Human herpesvirus 1 strain KOS,10306
92,Herpes simplex virus (type 1 / strain SC16),10309
93,Human herpesvirus 2,10310
94,Human herpesvirus 2 strain G,10314
95,Human herpesvirus 2 strain HG52,10315
96,Bovine herpesvirus 1,10320
97,monkey B virus,10325
98,Equid herpesvirus 1,10326
99,Afipia,1033
100,Felid herpesvirus 1,10334
101,Varicella-zoster virus,10335
102,Indus valley bullfrog,103373
103,Human herpesvirus 3 strain Dumas,10338
104,Stereum ostrea,103387
105,Suid herpesvirus 1,10345
106,Cytomegalovirus,10358
107,Human herpesvirus 5,10359
108,Human herpesvirus 5 strain AD169,10360
109,Murine cytomegalovirus,10366
110,Verticillium,1036719
111,Human herpesvirus 6,10368
112,Human herpesvirus 6 (strain Uganda-1102),10370
113,Chromolaena odorata,103745
114,Eupatorium lindleyanum,103753
115,Human herpesvirus 4,10376
116,Epstein-Barr virus (strain B95-8),10377
117,Pseudomonas fluorescens A506,1037911
118,Thermococcus sp. 9oN-7,103799
119,Coxsackievirus B3 (strain Nancy),103903
120,Tyromyces fissilis,1040649
121,Hepatitis B virus,10407
122,Scenedesmus acutus,104103
123,Desmodesmus subspicatus,104105
124,Bothrops pauloensis,1042543
125,Tenacibaculum,104267
126,Postia placenta,104341
